"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"125","Netherlands",2022-05-01,120,8228081,12245,22870,38,480191.5,714.6,1334.7,2.2,112,111
"126","New Zealand",2022-05-01,120,948498,53732,714,70,196702.2,11143.1,148.1,14.5,110,106
"127","Nicaragua",2022-05-01,120,18491,0,234,1,2791.1,0,35.3,0.2,101,101
"128","Niger",2022-05-01,120,8941,27,309,0,369.4,1.1,12.8,0,108,108
"129","Nigeria",2022-05-01,120,255753,68,3143,0,1240.7,0.3,15.2,0,109,107
"130","North Macedonia",2022-05-01,120,309571,509,9280,9,148617.9,244.4,4455.1,4.3,110,108
"131","Norway",2022-05-01,120,1426128,2499,2932,61,263074.7,461,540.9,11.3,112,109
"132","Oman",2022-05-01,120,389126,73,4258,1,76194.6,14.3,833.8,0.2,109,105
"133","Pakistan",2022-05-01,120,1527956,0,30369,0,6917.2,0,137.5,0,111,109
"134","Palau",2022-05-01,120,4610,214,6,0,256111.1,11888.9,333.3,0,14,0
"135","Panama",2022-05-01,120,777120,5301,8184,2,180097.3,1228.5,1896.6,0.5,110,109
"136","Papua New Guinea",2022-05-01,120,43817,85,650,1,4897.4,9.5,72.7,0.1,91,62
"137","Paraguay",2022-05-01,120,649455,421,18870,75,91049.3,59,2645.5,10.5,108,104
"138","Peru",2022-05-01,120,3565839,4963,212841,99,108147.5,150.5,6455.2,3,110,110
"139","Philippines",2022-05-01,120,3685895,1395,60397,215,33636.3,12.7,551.2,2,111,111
"140","Poland",2022-05-01,120,5996748,5551,116059,111,158447.1,146.7,3066.5,2.9,111,109
"141","Portugal",2022-05-01,120,3853800,62056,22280,118,377934.7,6085.7,2185,11.6,111,110
"142","Qatar",2022-05-01,120,364655,468,677,0,126572.4,162.4,235,0,111,105
"143","Republic of Korea",2022-05-01,120,17295733,366169,22958,715,337352.6,7142.1,447.8,13.9,114,113
"144","Republic of the Congo",2022-05-01,120,24079,0,385,0,4363.7,0,69.8,0,106,103
"145","Romania",2022-05-01,120,2894368,6050,65493,66,150450.6,314.5,3404.4,3.4,111,109
"146","Russia",2022-05-01,120,17924145,51520,368463,1097,122823.6,353,2524.9,7.5,110,108
"147","Rwanda",2022-05-01,120,129810,38,1459,0,10022.4,2.9,112.6,0,108,88
"148","Saint Kitts and Nevis",2022-05-01,120,5566,5,43,0,105018.9,94.3,811.3,0,46,31
"149","Saint Lucia",2022-05-01,120,23394,155,368,0,127141.3,842.4,2000,0,77,66
"150","Saint Vincent and the Grenadines",2022-05-01,120,8419,36,106,0,75846.8,324.3,955,0,71,57
"151","Samoa",2022-05-01,120,9592,2407,19,6,48444.4,12156.6,96,30.3,6,2
"152","San Marino",2022-05-01,120,16437,251,115,1,483441.2,7382.4,3382.4,29.4,110,110
"153","Sao Tome and Principe",2022-05-01,120,5957,4,73,0,27200.9,18.3,333.3,0,103,100
"154","Saudi Arabia",2022-05-01,120,754110,693,9089,11,21661.1,19.9,261.1,0.3,111,108
"155","Senegal",2022-05-01,120,85997,9,1967,0,5136,0.5,117.5,0,109,103
"156","Serbia",2022-05-01,120,2006695,5041,15999,43,229677.8,577,1831.2,4.9,110,109
"157","Seychelles",2022-05-01,120,42502,423,166,1,433693.9,4316.3,1693.9,10.2,94,62
